,year_month,product,location,quantity,date
169,2015-06,Medicine_8,Kolhapur,975,2015-06-01
170,2015-06,Medicine_8,Latur,982,2015-06-01
171,2015-06,Medicine_8,Mumbai,1136,2015-06-01
172,2015-06,Medicine_8,Nagpur,952,2015-06-01
173,2015-06,Medicine_8,Nanded,990,2015-06-01
174,2015-06,Medicine_8,Nashik,1131,2015-06-01
175,2015-06,Medicine_8,Parbhani,976,2015-06-01
176,2015-06,Medicine_8,Pune,821,2015-06-01
177,2015-06,Medicine_8,Satara,1036,2015-06-01
178,2015-06,Medicine_8,Solapur,1131,2015-06-01
179,2015-06,Medicine_8,Thane,1051,2015-06-01
180,2015-06,Medicine_9,Ahmednagar,1081,2015-06-01
181,2015-06,Medicine_9,Akola,974,2015-06-01
182,2015-06,Medicine_9,Amravati,1005,2015-06-01
183,2015-06,Medicine_9,Aurangabad,855,2015-06-01
184,2015-06,Medicine_9,Chandrapur,875,2015-06-01
185,2015-06,Medicine_9,Dhule,894,2015-06-01
186,2015-06,Medicine_9,Ichalkaranji,776,2015-06-01
187,2015-06,Medicine_9,Jalgaon,933,2015-06-01
188,2015-06,Medicine_9,Jalna,885,2015-06-01
189,2015-06,Medicine_9,Kolhapur,1107,2015-06-01
190,2015-06,Medicine_9,Latur,790,2015-06-01
191,2015-06,Medicine_9,Mumbai,947,2015-06-01
192,2015-06,Medicine_9,Nagpur,957,2015-06-01
193,2015-06,Medicine_9,Nanded,804,2015-06-01
194,2015-06,Medicine_9,Nashik,1102,2015-06-01
195,2015-06,Medicine_9,Parbhani,881,2015-06-01
196,2015-06,Medicine_9,Pune,817,2015-06-01
197,2015-06,Medicine_9,Satara,1063,2015-06-01
198,2015-06,Medicine_9,Solapur,981,2015-06-01
199,2015-06,Medicine_9,Thane,1147,2015-06-01
200,2015-07,Medicine_1,Ahmednagar,1167,2015-07-01
201,2015-07,Medicine_1,Akola,1041,2015-07-01
202,2015-07,Medicine_1,Amravati,921,2015-07-01
203,2015-07,Medicine_1,Aurangabad,1160,2015-07-01
204,2015-07,Medicine_1,Chandrapur,1201,2015-07-01
205,2015-07,Medicine_1,Dhule,1034,2015-07-01
206,2015-07,Medicine_1,Ichalkaranji,961,2015-07-01
207,2015-07,Medicine_1,Jalgaon,939,2015-07-01
208,2015-07,Medicine_1,Jalna,1161,2015-07-01
209,2015-07,Medicine_1,Kolhapur,1151,2015-07-01
210,2015-07,Medicine_1,Latur,1113,2015-07-01
211,2015-07,Medicine_1,Mumbai,852,2015-07-01
212,2015-07,Medicine_1,Nagpur,728,2015-07-01
213,2015-07,Medicine_1,Nanded,961,2015-07-01
214,2015-07,Medicine_1,Nashik,1168,2015-07-01
215,2015-07,Medicine_1,Parbhani,1075,2015-07-01
216,2015-07,Medicine_1,Pune,902,2015-07-01
217,2015-07,Medicine_1,Satara,1017,2015-07-01
218,2015-07,Medicine_1,Solapur,1129,2015-07-01
219,2015-07,Medicine_1,Thane,1053,2015-07-01
220,2015-07,Medicine_10,Ahmednagar,1258,2015-07-01
221,2015-07,Medicine_10,Akola,1010,2015-07-01
222,2015-07,Medicine_10,Amravati,1044,2015-07-01
223,2015-07,Medicine_10,Aurangabad,981,2015-07-01
224,2015-07,Medicine_10,Chandrapur,1347,2015-07-01
225,2015-07,Medicine_10,Dhule,948,2015-07-01
226,2015-07,Medicine_10,Ichalkaranji,1076,2015-07-01
227,2015-07,Medicine_10,Jalgaon,867,2015-07-01
228,2015-07,Medicine_10,Jalna,1002,2015-07-01
229,2015-07,Medicine_10,Kolhapur,1066,2015-07-01
230,2015-07,Medicine_10,Latur,1031,2015-07-01
231,2015-07,Medicine_10,Mumbai,881,2015-07-01
232,2015-07,Medicine_10,Nagpur,792,2015-07-01
233,2015-07,Medicine_10,Nanded,1205,2015-07-01
234,2015-07,Medicine_10,Nashik,1205,2015-07-01
235,2015-07,Medicine_10,Parbhani,998,2015-07-01
236,2015-07,Medicine_10,Pune,909,2015-07-01
237,2015-07,Medicine_10,Satara,991,2015-07-01
238,2015-07,Medicine_10,Solapur,1118,2015-07-01
239,2015-07,Medicine_10,Thane,966,2015-07-01
240,2015-07,Medicine_2,Ahmednagar,1177,2015-07-01
241,2015-07,Medicine_2,Akola,1157,2015-07-01
242,2015-07,Medicine_2,Amravati,1120,2015-07-01
243,2015-07,Medicine_2,Aurangabad,848,2015-07-01
244,2015-07,Medicine_2,Chandrapur,982,2015-07-01
245,2015-07,Medicine_2,Dhule,1150,2015-07-01
246,2015-07,Medicine_2,Ichalkaranji,1032,2015-07-01
247,2015-07,Medicine_2,Jalgaon,955,2015-07-01
248,2015-07,Medicine_2,Jalna,1120,2015-07-01
249,2015-07,Medicine_2,Kolhapur,957,2015-07-01
250,2015-07,Medicine_2,Latur,1043,2015-07-01
251,2015-07,Medicine_2,Mumbai,1003,2015-07-01
252,2015-07,Medicine_2,Nagpur,1039,2015-07-01
253,2015-07,Medicine_2,Nanded,944,2015-07-01
254,2015-07,Medicine_2,Nashik,989,2015-07-01
255,2015-07,Medicine_2,Parbhani,1115,2015-07-01
256,2015-07,Medicine_2,Pune,1056,2015-07-01
257,2015-07,Medicine_2,Satara,941,2015-07-01
258,2015-07,Medicine_2,Solapur,1047,2015-07-01
259,2015-07,Medicine_2,Thane,1127,2015-07-01
260,2015-07,Medicine_3,Ahmednagar,971,2015-07-01
261,2015-07,Medicine_3,Akola,884,2015-07-01
262,2015-07,Medicine_3,Amravati,1229,2015-07-01
263,2015-07,Medicine_3,Aurangabad,979,2015-07-01
264,2015-07,Medicine_3,Chandrapur,1010,2015-07-01
265,2015-07,Medicine_3,Dhule,1179,2015-07-01
266,2015-07,Medicine_3,Ichalkaranji,1198,2015-07-01
267,2015-07,Medicine_3,Jalgaon,1104,2015-07-01
268,2015-07,Medicine_3,Jalna,788,2015-07-01
269,2015-07,Medicine_3,Kolhapur,1216,2015-07-01
270,2015-07,Medicine_3,Latur,835,2015-07-01
271,2015-07,Medicine_3,Mumbai,872,2015-07-01
272,2015-07,Medicine_3,Nagpur,974,2015-07-01
273,2015-07,Medicine_3,Nanded,982,2015-07-01
274,2015-07,Medicine_3,Nashik,1010,2015-07-01
275,2015-07,Medicine_3,Parbhani,1000,2015-07-01
276,2015-07,Medicine_3,Pune,935,2015-07-01
277,2015-07,Medicine_3,Satara,942,2015-07-01
278,2015-07,Medicine_3,Solapur,899,2015-07-01
279,2015-07,Medicine_3,Thane,1058,2015-07-01
280,2015-07,Medicine_4,Ahmednagar,962,2015-07-01
281,2015-07,Medicine_4,Akola,1217,2015-07-01
282,2015-07,Medicine_4,Amravati,1286,2015-07-01
283,2015-07,Medicine_4,Aurangabad,854,2015-07-01
284,2015-07,Medicine_4,Chandrapur,809,2015-07-01
285,2015-07,Medicine_4,Dhule,849,2015-07-01
286,2015-07,Medicine_4,Ichalkaranji,972,2015-07-01
287,2015-07,Medicine_4,Jalgaon,1065,2015-07-01
288,2015-07,Medicine_4,Jalna,1159,2015-07-01
289,2015-07,Medicine_4,Kolhapur,1031,2015-07-01
290,2015-07,Medicine_4,Latur,850,2015-07-01
291,2015-07,Medicine_4,Mumbai,984,2015-07-01
292,2015-07,Medicine_4,Nagpur,1079,2015-07-01
293,2015-07,Medicine_4,Nanded,794,2015-07-01
294,2015-07,Medicine_4,Nashik,1175,2015-07-01
295,2015-07,Medicine_4,Parbhani,918,2015-07-01
296,2015-07,Medicine_4,Pune,911,2015-07-01
297,2015-07,Medicine_4,Satara,1042,2015-07-01
298,2015-07,Medicine_4,Solapur,940,2015-07-01
299,2015-07,Medicine_4,Thane,1097,2015-07-01
300,2015-07,Medicine_5,Ahmednagar,955,2015-07-01
301,2015-07,Medicine_5,Akola,980,2015-07-01
302,2015-07,Medicine_5,Amravati,1069,2015-07-01
303,2015-07,Medicine_5,Aurangabad,1087,2015-07-01
304,2015-07,Medicine_5,Chandrapur,904,2015-07-01
305,2015-07,Medicine_5,Dhule,1059,2015-07-01
306,2015-07,Medicine_5,Ichalkaranji,1056,2015-07-01
307,2015-07,Medicine_5,Jalgaon,1080,2015-07-01
308,2015-07,Medicine_5,Jalna,1145,2015-07-01
309,2015-07,Medicine_5,Kolhapur,1216,2015-07-01
310,2015-07,Medicine_5,Latur,1103,2015-07-01
311,2015-07,Medicine_5,Mumbai,978,2015-07-01
312,2015-07,Medicine_5,Nagpur,1111,2015-07-01
313,2015-07,Medicine_5,Nanded,1034,2015-07-01
314,2015-07,Medicine_5,Nashik,863,2015-07-01
315,2015-07,Medicine_5,Parbhani,948,2015-07-01
316,2015-07,Medicine_5,Pune,1057,2015-07-01
317,2015-07,Medicine_5,Satara,922,2015-07-01
318,2015-07,Medicine_5,Solapur,730,2015-07-01
319,2015-07,Medicine_5,Thane,1036,2015-07-01
320,2015-07,Medicine_6,Ahmednagar,1140,2015-07-01
321,2015-07,Medicine_6,Akola,822,2015-07-01
322,2015-07,Medicine_6,Amravati,950,2015-07-01
323,2015-07,Medicine_6,Aurangabad,906,2015-07-01
324,2015-07,Medicine_6,Chandrapur,1027,2015-07-01
325,2015-07,Medicine_6,Dhule,1013,2015-07-01
326,2015-07,Medicine_6,Ichalkaranji,1093,2015-07-01
327,2015-07,Medicine_6,Jalgaon,873,2015-07-01
328,2015-07,Medicine_6,Jalna,942,2015-07-01
329,2015-07,Medicine_6,Kolhapur,960,2015-07-01
330,2015-07,Medicine_6,Latur,983,2015-07-01
331,2015-07,Medicine_6,Mumbai,1137,2015-07-01
332,2015-07,Medicine_6,Nagpur,923,2015-07-01
333,2015-07,Medicine_6,Nanded,1164,2015-07-01
334,2015-07,Medicine_6,Nashik,1058,2015-07-01
335,2015-07,Medicine_6,Parbhani,976,2015-07-01
336,2015-07,Medicine_6,Pune,1152,2015-07-01
337,2015-07,Medicine_6,Satara,1054,2015-07-01
338,2015-07,Medicine_6,Solapur,1058,2015-07-01
339,2015-07,Medicine_6,Thane,892,2015-07-01
340,2015-07,Medicine_7,Ahmednagar,998,2015-07-01
341,2015-07,Medicine_7,Akola,1065,2015-07-01
342,2015-07,Medicine_7,Amravati,952,2015-07-01
343,2015-07,Medicine_7,Aurangabad,981,2015-07-01
344,2015-07,Medicine_7,Chandrapur,868,2015-07-01
345,2015-07,Medicine_7,Dhule,978,2015-07-01
346,2015-07,Medicine_7,Ichalkaranji,1059,2015-07-01
347,2015-07,Medicine_7,Jalgaon,903,2015-07-01
348,2015-07,Medicine_7,Jalna,832,2015-07-01
349,2015-07,Medicine_7,Kolhapur,822,2015-07-01
350,2015-07,Medicine_7,Latur,962,2015-07-01
351,2015-07,Medicine_7,Mumbai,939,2015-07-01
352,2015-07,Medicine_7,Nagpur,999,2015-07-01
353,2015-07,Medicine_7,Nanded,1008,2015-07-01
354,2015-07,Medicine_7,Nashik,1000,2015-07-01
355,2015-07,Medicine_7,Parbhani,1101,2015-07-01
356,2015-07,Medicine_7,Pune,748,2015-07-01
357,2015-07,Medicine_7,Satara,899,2015-07-01
358,2015-07,Medicine_7,Solapur,1168,2015-07-01
359,2015-07,Medicine_7,Thane,1146,2015-07-01
360,2015-07,Medicine_8,Ahmednagar,943,2015-07-01
361,2015-07,Medicine_8,Akola,1050,2015-07-01
362,2015-07,Medicine_8,Amravati,1030,2015-07-01
363,2015-07,Medicine_8,Aurangabad,1166,2015-07-01
364,2015-07,Medicine_8,Chandrapur,833,2015-07-01
365,2015-07,Medicine_8,Dhule,948,2015-07-01
366,2015-07,Medicine_8,Ichalkaranji,1055,2015-07-01
367,2015-07,Medicine_8,Jalgaon,1058,2015-07-01
368,2015-07,Medicine_8,Jalna,1113,2015-07-01
369,2015-07,Medicine_8,Kolhapur,941,2015-07-01
370,2015-07,Medicine_8,Latur,1056,2015-07-01
371,2015-07,Medicine_8,Mumbai,1154,2015-07-01
372,2015-07,Medicine_8,Nagpur,1013,2015-07-01
373,2015-07,Medicine_8,Nanded,953,2015-07-01
374,2015-07,Medicine_8,Nashik,1111,2015-07-01
375,2015-07,Medicine_8,Parbhani,1034,2015-07-01
376,2015-07,Medicine_8,Pune,1230,2015-07-01
377,2015-07,Medicine_8,Satara,1029,2015-07-01
378,2015-07,Medicine_8,Solapur,1019,2015-07-01
379,2015-07,Medicine_8,Thane,1159,2015-07-01
380,2015-07,Medicine_9,Ahmednagar,1174,2015-07-01
381,2015-07,Medicine_9,Akola,860,2015-07-01
382,2015-07,Medicine_9,Amravati,887,2015-07-01
383,2015-07,Medicine_9,Aurangabad,1270,2015-07-01
384,2015-07,Medicine_9,Chandrapur,819,2015-07-01
385,2015-07,Medicine_9,Dhule,925,2015-07-01
386,2015-07,Medicine_9,Ichalkaranji,1067,2015-07-01
387,2015-07,Medicine_9,Jalgaon,1016,2015-07-01
388,2015-07,Medicine_9,Jalna,1034,2015-07-01
389,2015-07,Medicine_9,Kolhapur,871,2015-07-01
390,2015-07,Medicine_9,Latur,1076,2015-07-01
391,2015-07,Medicine_9,Mumbai,984,2015-07-01
392,2015-07,Medicine_9,Nagpur,1068,2015-07-01
393,2015-07,Medicine_9,Nanded,995,2015-07-01
394,2015-07,Medicine_9,Nashik,1255,2015-07-01
395,2015-07,Medicine_9,Parbhani,1100,2015-07-01
396,2015-07,Medicine_9,Pune,971,2015-07-01
397,2015-07,Medicine_9,Satara,897,2015-07-01
398,2015-07,Medicine_9,Solapur,1047,2015-07-01
399,2015-07,Medicine_9,Thane,868,2015-07-01
400,2015-08,Medicine_1,Ahmednagar,780,2015-08-01
401,2015-08,Medicine_1,Akola,839,2015-08-01
402,2015-08,Medicine_1,Amravati,981,2015-08-01
403,2015-08,Medicine_1,Aurangabad,1055,2015-08-01
404,2015-08,Medicine_1,Chandrapur,1102,2015-08-01
405,2015-08,Medicine_1,Dhule,1186,2015-08-01
406,2015-08,Medicine_1,Ichalkaranji,870,2015-08-01
407,2015-08,Medicine_1,Jalgaon,898,2015-08-01
408,2015-08,Medicine_1,Jalna,963,2015-08-01
409,2015-08,Medicine_1,Kolhapur,784,2015-08-01
410,2015-08,Medicine_1,Latur,902,2015-08-01
411,2015-08,Medicine_1,Mumbai,964,2015-08-01
412,2015-08,Medicine_1,Nagpur,864,2015-08-01
413,2015-08,Medicine_1,Nanded,1051,2015-08-01
414,2015-08,Medicine_1,Nashik,1078,2015-08-01
415,2015-08,Medicine_1,Parbhani,1077,2015-08-01
416,2015-08,Medicine_1,Pune,1037,2015-08-01
417,2015-08,Medicine_1,Satara,924,2015-08-01
418,2015-08,Medicine_1,Solapur,901,2015-08-01
419,2015-08,Medicine_1,Thane,790,2015-08-01
420,2015-08,Medicine_10,Ahmednagar,973,2015-08-01
421,2015-08,Medicine_10,Akola,946,2015-08-01
422,2015-08,Medicine_10,Amravati,893,2015-08-01
423,2015-08,Medicine_10,Aurangabad,993,2015-08-01
424,2015-08,Medicine_10,Chandrapur,742,2015-08-01
425,2015-08,Medicine_10,Dhule,1157,2015-08-01
426,2015-08,Medicine_10,Ichalkaranji,1044,2015-08-01
427,2015-08,Medicine_10,Jalgaon,853,2015-08-01
428,2015-08,Medicine_10,Jalna,807,2015-08-01
429,2015-08,Medicine_10,Kolhapur,903,2015-08-01
430,2015-08,Medicine_10,Latur,899,2015-08-01
431,2015-08,Medicine_10,Mumbai,1022,2015-08-01
432,2015-08,Medicine_10,Nagpur,1119,2015-08-01
433,2015-08,Medicine_10,Nanded,1198,2015-08-01
434,2015-08,Medicine_10,Nashik,1067,2015-08-01
435,2015-08,Medicine_10,Parbhani,1187,2015-08-01
436,2015-08,Medicine_10,Pune,1073,2015-08-01
437,2015-08,Medicine_10,Satara,853,2015-08-01
438,2015-08,Medicine_10,Solapur,936,2015-08-01
439,2015-08,Medicine_10,Thane,1023,2015-08-01
440,2015-08,Medicine_2,Ahmednagar,1094,2015-08-01
441,2015-08,Medicine_2,Akola,992,2015-08-01
442,2015-08,Medicine_2,Amravati,1025,2015-08-01
443,2015-08,Medicine_2,Aurangabad,984,2015-08-01
444,2015-08,Medicine_2,Chandrapur,1056,2015-08-01
445,2015-08,Medicine_2,Dhule,1027,2015-08-01
446,2015-08,Medicine_2,Ichalkaranji,937,2015-08-01
447,2015-08,Medicine_2,Jalgaon,1054,2015-08-01
448,2015-08,Medicine_2,Jalna,849,2015-08-01
449,2015-08,Medicine_2,Kolhapur,1172,2015-08-01
450,2015-08,Medicine_2,Latur,1256,2015-08-01
451,2015-08,Medicine_2,Mumbai,922,2015-08-01
452,2015-08,Medicine_2,Nagpur,1054,2015-08-01
453,2015-08,Medicine_2,Nanded,979,2015-08-01
454,2015-08,Medicine_2,Nashik,1097,2015-08-01
455,2015-08,Medicine_2,Parbhani,1076,2015-08-01
456,2015-08,Medicine_2,Pune,920,2015-08-01
457,2015-08,Medicine_2,Satara,931,2015-08-01
458,2015-08,Medicine_2,Solapur,879,2015-08-01
459,2015-08,Medicine_2,Thane,849,2015-08-01
460,2015-08,Medicine_3,Ahmednagar,1079,2015-08-01
461,2015-08,Medicine_3,Akola,1147,2015-08-01
462,2015-08,Medicine_3,Amravati,1009,2015-08-01
463,2015-08,Medicine_3,Aurangabad,1143,2015-08-01
464,2015-08,Medicine_3,Chandrapur,1054,2015-08-01
465,2015-08,Medicine_3,Dhule,873,2015-08-01
466,2015-08,Medicine_3,Ichalkaranji,1041,2015-08-01
467,2015-08,Medicine_3,Jalgaon,1117,2015-08-01
468,2015-08,Medicine_3,Jalna,1069,2015-08-01
469,2015-08,Medicine_3,Kolhapur,957,2015-08-01
470,2015-08,Medicine_3,Latur,894,2015-08-01
471,2015-08,Medicine_3,Mumbai,1192,2015-08-01
472,2015-08,Medicine_3,Nagpur,1033,2015-08-01
473,2015-08,Medicine_3,Nanded,1067,2015-08-01
474,2015-08,Medicine_3,Nashik,924,2015-08-01
475,2015-08,Medicine_3,Parbhani,965,2015-08-01
476,2015-08,Medicine_3,Pune,949,2015-08-01
477,2015-08,Medicine_3,Satara,904,2015-08-01
478,2015-08,Medicine_3,Solapur,1035,2015-08-01
